"지역별(시/군/구)","산업분류별","규모별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","B.광업(05~08)","300~499인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","300~499인","상용근로자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","300~499인","임시 및 일용근로자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","500~999인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","500~999인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","500~999인","상용근로자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","500~999인","임시 및 일용근로자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","1000인이상","자영업자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","1000인이상","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","1000인이상","상용근로자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","1000인이상","임시 및 일용근로자[명]","명","0","0","0","0","0",
"대구광역시","C.제조업(10~34)","전규모","자영업자[명]","명","12029","11873","10454","10337","10239",
"대구광역시","C.제조업(10~34)","전규모","무급가족 및 기타종사자[명]","명","2969","3293","1747","1294","1286",
"대구광역시","C.제조업(10~34)","전규모","상용근로자[명]","명","135171","134015","125923","129337","130781",
"대구광역시","C.제조업(10~34)","전규모","임시 및 일용근로자[명]","명","12170","11190","7380","5843","6023",
"대구광역시","C.제조업(10~34)","1~4인","자영업자[명]","명","7134","7022","6486","6634","6452",
"대구광역시","C.제조업(10~34)","1~4인","무급가족 및 기타종사자[명]","명","2039","1876","895","588","615",
"대구광역시","C.제조업(10~34)","1~4인","상용근로자[명]","명","10915","10762","11947","13535","13692",
"대구광역시","C.제조업(10~34)","1~4인","임시 및 일용근로자[명]","명","4221","4018","2206","1708","1780",
"대구광역시","C.제조업(10~34)","5~9인","자영업자[명]","명","3569","3559","2738","2456","2546",
"대구광역시","C.제조업(10~34)","5~9인","무급가족 및 기타종사자[명]","명","572","1018","543","397","321",
"대구광역시","C.제조업(10~34)","5~9인","상용근로자[명]","명","21203","22509","17582","16956","16806",
"대구광역시","C.제조업(10~34)","5~9인","임시 및 일용근로자[명]","명","4958","4012","2219","1534","1510",
"대구광역시","C.제조업(10~34)","10~29인","자영업자[명]","명","1197","1167","1129","1145","1142",
"대구광역시","C.제조업(10~34)","10~29인","무급가족 및 기타종사자[명]","명","250","256","205","217","208",
"대구광역시","C.제조업(10~34)","10~29인","상용근로자[명]","명","35250","34710","34765","35788","35477",
"대구광역시","C.제조업(10~34)","10~29인","임시 및 일용근로자[명]","명","1578","1522","1773","1393","1764",
"대구광역시","C.제조업(10~34)","30~49인","자영업자[명]","명","99","101","82","77","80",
"대구광역시","C.제조업(10~34)","30~49인","무급가족 및 기타종사자[명]","명","44","79","5","7","5",
"대구광역시","C.제조업(10~34)","30~49인","상용근로자[명]","명","16753","16817","15460","15137","15962",
"대구광역시","C.제조업(10~34)","30~49인","임시 및 일용근로자[명]","명","461","592","357","372","313",
"대구광역시","C.제조업(10~34)","50~99인","자영업자[명]","명","27","22","17","23","16",
"대구광역시","C.제조업(10~34)","50~99인","무급가족 및 기타종사자[명]","명","0","59","99","81","72",
"대구광역시","C.제조업(10~34)","50~99인","상용근로자[명]","명","19876","19442","17378","17402","17162",
"대구광역시","C.제조업(10~34)","50~99인","임시 및 일용근로자[명]","명","547","573","520","376","338",
"대구광역시","C.제조업(10~34)","100~199인","자영업자[명]","명","3","2","2","1","2",
