기업 이름,이동 링크,총 만족도,평균 임금
반디에스앤씨(주),/companies/324971/info/%EB%B0%98%EB%94%94%EC%97%90%EC%8A%A4%EC%95%A4%EC%94%A8?,3.9,"4,173"
야후코리아,/companies/91047/info/%EC%95%BC%ED%9B%84%EC%BD%94%EB%A6%AC%EC%95%84?,3.9,"10,110"
행복쇼핑(주),/companies/274119/info/%ED%96%89%EB%B3%B5%EC%87%BC%ED%95%91?,3.9,"3,990"
(주)산타,/companies/352530/info/%EC%82%B0%ED%83%80?,3.9,"4,242"
에스에이피코리아(주),/companies/20860/info/%EC%97%90%EC%8A%A4%EC%97%90%EC%9D%B4%ED%94%BC%EC%BD%94%EB%A6%AC%EC%95%84?,3.9,"7,821"
캠프모바일,/companies/88820/info/%EC%BA%A0%ED%94%84%EB%AA%A8%EB%B0%94%EC%9D%BC?,3.9,"6,870"
앱리프트아시아퍼시픽(주),/companies/96767/info/%EC%95%B1%EB%A6%AC%ED%94%84%ED%8A%B8%EC%95%84%EC%8B%9C%EC%95%84%ED%8D%BC%EC%8B%9C%ED%94%BD?,3.9,"4,161"
(주)쇼엠,/companies/319546/info/%EC%87%BC%EC%97%A0?,3.9,"3,220"
(주)슈퍼브에이아이,/companies/341520/info/%EC%8A%88%ED%8D%BC%EB%B8%8C%EC%97%90%EC%9D%B4%EC%95%84%EC%9D%B4?,3.9,"4,380"
(주)코그,/companies/89929/info/%EC%BD%94%EA%B7%B8?,3.9,"3,775"
알테어엔지니어링(주),/companies/21655/info/%EC%95%8C%ED%85%8C%EC%96%B4%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81?,3.9,"5,218"
(주)볼드코퍼레이션,/companies/345343/info/%EB%B3%BC%EB%93%9C%EC%BD%94%ED%8D%BC%EB%A0%88%EC%9D%B4%EC%85%98?,3.9,"4,217"
(주)플랜잇파트너스,/companies/151960/info/%ED%94%8C%EB%9E%9C%EC%9E%87%ED%8C%8C%ED%8A%B8%EB%84%88%EC%8A%A4?,3.9,"4,690"
넷스루(주),/companies/83474/info/%EB%84%B7%EC%8A%A4%EB%A3%A8?,3.9,"4,098"
피앤피시큐어(주),/companies/49486/info/%ED%94%BC%EC%95%A4%ED%94%BC%EC%8B%9C%ED%81%90%EC%96%B4?,3.9,"4,881"
(주)버킷플레이스,/companies/274319/info/%EB%B2%84%ED%82%B7%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4?,3.8,"5,154"
(주)살다,/companies/356680/info/%EC%82%B4%EB%8B%A4?,3.8,"4,662"
(주)크리마,/companies/329314/info/%ED%81%AC%EB%A6%AC%EB%A7%88?,3.8,"4,417"
디에이전시(주),/companies/91729/info/%EB%94%94%EC%97%90%EC%9D%B4%EC%A0%84%EC%8B%9C?,3.8,"2,765"
한국아이티진흥(주),/companies/207890/info/%ED%95%9C%EA%B5%AD%EC%95%84%EC%9D%B4%ED%8B%B0%EC%A7%84%ED%9D%A5?,3.8,"4,284"
(주)디벨록,/companies/373744/info/%EB%94%94%EB%B2%A8%EB%A1%9D?,3.8,"4,335"
(주)지엔에이컴퍼니,/companies/375314/info/%EC%A7%80%EC%97%94%EC%97%90%EC%9D%B4%EC%BB%B4%ED%8D%BC%EB%8B%88?,3.8,"3,253"
(주)카카오,/companies/93880/info/%EC%B9%B4%EC%B9%B4%EC%98%A4?,3.8,"6,284"
(주)크몽,/companies/90053/info/%ED%81%AC%EB%AA%BD?,3.8,"4,507"
(주)셀메이트,/companies/328412/info/%EC%85%80%EB%A9%94%EC%9D%B4%ED%8A%B8?,3.8,"3,734"
