"시도별(17개)","산업분류별","규모별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","일반 목적용 기계 제조업","100~199인","총종사자수_여자[명]","명","315","208","238","243","156",
"대구광역시","일반 목적용 기계 제조업","200~299인","사업체수[개]","개","1","2","1","0","3",
"대구광역시","일반 목적용 기계 제조업","200~299인","총종사자수_계[명]","명","249","429","229","0","786",
"대구광역시","일반 목적용 기계 제조업","200~299인","총종사자수_남자[명]","명","215","364","199","0","605",
"대구광역시","일반 목적용 기계 제조업","200~299인","총종사자수_여자[명]","명","34","65","30","0","181",
"대구광역시","일반 목적용 기계 제조업","300~499인","사업체수[개]","개","1","1","1","1","0",
"대구광역시","일반 목적용 기계 제조업","300~499인","총종사자수_계[명]","명","308","303","307","303","0",
"대구광역시","일반 목적용 기계 제조업","300~499인","총종사자수_남자[명]","명","267","273","269","267","0",
"대구광역시","일반 목적용 기계 제조업","300~499인","총종사자수_여자[명]","명","41","30","38","36","0",
"대구광역시","일반 목적용 기계 제조업","500~999인","사업체수[개]","개","1","1","1","1","1",
"대구광역시","일반 목적용 기계 제조업","500~999인","총종사자수_계[명]","명","635","593","555","630","642",
"대구광역시","일반 목적용 기계 제조업","500~999인","총종사자수_남자[명]","명","594","553","522","587","590",
"대구광역시","일반 목적용 기계 제조업","500~999인","총종사자수_여자[명]","명","41","40","33","43","52",
"대구광역시","일반 목적용 기계 제조업","1000인이상","사업체수[개]","개","0","0","0","0","0",
"대구광역시","일반 목적용 기계 제조업","1000인이상","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","일반 목적용 기계 제조업","1000인이상","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","일반 목적용 기계 제조업","1000인이상","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","특수 목적용 기계 제조업","전규모","사업체수[개]","개","1344","1347","1277","1321","1294",
"대구광역시","특수 목적용 기계 제조업","전규모","총종사자수_계[명]","명","13876","13612","12431","12525","12680",
"대구광역시","특수 목적용 기계 제조업","전규모","총종사자수_남자[명]","명","11774","11492","10552","10602","10739",
"대구광역시","특수 목적용 기계 제조업","전규모","총종사자수_여자[명]","명","2102","2120","1879","1923","1941",
"대구광역시","특수 목적용 기계 제조업","1~4인","사업체수[개]","개","618","617","637","706","674",
"대구광역시","특수 목적용 기계 제조업","1~4인","총종사자수_계[명]","명","1785","1751","1726","1857","1820",
"대구광역시","특수 목적용 기계 제조업","1~4인","총종사자수_남자[명]","명","1471","1369","1399","1519","1491",
"대구광역시","특수 목적용 기계 제조업","1~4인","총종사자수_여자[명]","명","314","382","327","338","329",
"대구광역시","특수 목적용 기계 제조업","5~9인","사업체수[개]","개","385","408","302","283","291",
"대구광역시","특수 목적용 기계 제조업","5~9인","총종사자수_계[명]","명","2655","2856","1967","1825","1854",
"대구광역시","특수 목적용 기계 제조업","5~9인","총종사자수_남자[명]","명","2184","2330","1626","1517","1520",
"대구광역시","특수 목적용 기계 제조업","5~9인","총종사자수_여자[명]","명","471","526","341","308","334",
"대구광역시","특수 목적용 기계 제조업","10~29인","사업체수[개]","개","265","251","272","264","264",
"대구광역시","특수 목적용 기계 제조업","10~29인","총종사자수_계[명]","명","4018","3901","4107","3880","3970",
"대구광역시","특수 목적용 기계 제조업","10~29인","총종사자수_남자[명]","명","3414","3329","3497","3291","3337",
"대구광역시","특수 목적용 기계 제조업","10~29인","총종사자수_여자[명]","명","604","572","610","589","633",
"대구광역시","특수 목적용 기계 제조업","30~49인","사업체수[개]","개","51","49","42","45","45",
"대구광역시","특수 목적용 기계 제조업","30~49인","총종사자수_계[명]","명","1913","1867","1585","1659","1648",
"대구광역시","특수 목적용 기계 제조업","30~49인","총종사자수_남자[명]","명","1651","1625","1372","1433","1442",
"대구광역시","특수 목적용 기계 제조업","30~49인","총종사자수_여자[명]","명","262","242","213","226","206",
"대구광역시","특수 목적용 기계 제조업","50~99인","사업체수[개]","개","16","13","16","14","11",
"대구광역시","특수 목적용 기계 제조업","50~99인","총종사자수_계[명]","명","1082","908","1091","893","740",
"대구광역시","특수 목적용 기계 제조업","50~99인","총종사자수_남자[명]","명","943","783","944","785","659",
"대구광역시","특수 목적용 기계 제조업","50~99인","총종사자수_여자[명]","명","139","125","147","108","81",
"대구광역시","특수 목적용 기계 제조업","100~199인","사업체수[개]","개","5","5","5","5","4",
"대구광역시","특수 목적용 기계 제조업","100~199인","총종사자수_계[명]","명","704","654","716","719","592",
"대구광역시","특수 목적용 기계 제조업","100~199인","총종사자수_남자[명]","명","482","451","522","582","534",
"대구광역시","특수 목적용 기계 제조업","100~199인","총종사자수_여자[명]","명","222","203","194","137","58",
"대구광역시","특수 목적용 기계 제조업","200~299인","사업체수[개]","개","1","2","2","3","2",
"대구광역시","특수 목적용 기계 제조업","200~299인","총종사자수_계[명]","명","237","510","511","735","458",
"대구광역시","특수 목적용 기계 제조업","200~299인","총종사자수_남자[명]","명","224","493","484","530","261",
"대구광역시","특수 목적용 기계 제조업","200~299인","총종사자수_여자[명]","명","13","17","27","205","197",
"대구광역시","특수 목적용 기계 제조업","300~499인","사업체수[개]","개","2","1","0","0","2",
"대구광역시","특수 목적용 기계 제조업","300~499인","총종사자수_계[명]","명","739","422","0","0","668",
"대구광역시","특수 목적용 기계 제조업","300~499인","총종사자수_남자[명]","명","686","393","0","0","613",
"대구광역시","특수 목적용 기계 제조업","300~499인","총종사자수_여자[명]","명","53","29","0","0","55",
"대구광역시","특수 목적용 기계 제조업","500~999인","사업체수[개]","개","1","1","1","1","1",
"대구광역시","특수 목적용 기계 제조업","500~999인","총종사자수_계[명]","명","743","743","728","957","930",
"대구광역시","특수 목적용 기계 제조업","500~999인","총종사자수_남자[명]","명","719","719","708","945","882",
"대구광역시","특수 목적용 기계 제조업","500~999인","총종사자수_여자[명]","명","24","24","20","12","48",
"대구광역시","특수 목적용 기계 제조업","1000인이상","사업체수[개]","개","0","0","0","0","0",
"대구광역시","특수 목적용 기계 제조업","1000인이상","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","특수 목적용 기계 제조업","1000인이상","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","특수 목적용 기계 제조업","1000인이상","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","자동차 및 트레일러 제조업","전규모","사업체수[개]","개","612","648","612","672","676",
"대구광역시","자동차 및 트레일러 제조업","전규모","총종사자수_계[명]","명","17627","17825","16714","17202","17176",
"대구광역시","자동차 및 트레일러 제조업","전규모","총종사자수_남자[명]","명","12882","13224","12526","12806","12808",
"대구광역시","자동차 및 트레일러 제조업","전규모","총종사자수_여자[명]","명","4745","4601","4188","4396","4368",
"대구광역시","자동차 및 트레일러 제조업","1~4인","사업체수[개]","개","170","197","200","226","243",
"대구광역시","자동차 및 트레일러 제조업","1~4인","총종사자수_계[명]","명","513","577","555","616","643",
"대구광역시","자동차 및 트레일러 제조업","1~4인","총종사자수_남자[명]","명","352","400","380","441","476",
"대구광역시","자동차 및 트레일러 제조업","1~4인","총종사자수_여자[명]","명","161","177","175","175","167",
"대구광역시","자동차 및 트레일러 제조업","5~9인","사업체수[개]","개","151","162","139","165","147",
"대구광역시","자동차 및 트레일러 제조업","5~9인","총종사자수_계[명]","명","1051","1114","935","1032","931",
"대구광역시","자동차 및 트레일러 제조업","5~9인","총종사자수_남자[명]","명","658","767","565","652","587",
"대구광역시","자동차 및 트레일러 제조업","5~9인","총종사자수_여자[명]","명","393","347","370","380","344",
"대구광역시","자동차 및 트레일러 제조업","10~29인","사업체수[개]","개","147","149","139","146","142",
"대구광역시","자동차 및 트레일러 제조업","10~29인","총종사자수_계[명]","명","2500","2543","2313","2496","2439",
"대구광역시","자동차 및 트레일러 제조업","10~29인","총종사자수_남자[명]","명","1736","1735","1571","1715","1571",
"대구광역시","자동차 및 트레일러 제조업","10~29인","총종사자수_여자[명]","명","764","808","742","781","868",
"대구광역시","자동차 및 트레일러 제조업","30~49인","사업체수[개]","개","54","56","56","53","64",
"대구광역시","자동차 및 트레일러 제조업","30~49인","총종사자수_계[명]","명","2058","2135","2127","2018","2431",
"대구광역시","자동차 및 트레일러 제조업","30~49인","총종사자수_남자[명]","명","1383","1488","1565","1419","1792",
"대구광역시","자동차 및 트레일러 제조업","30~49인","총종사자수_여자[명]","명","675","647","562","599","639",
"대구광역시","자동차 및 트레일러 제조업","50~99인","사업체수[개]","개","56","52","46","51","52",
"대구광역시","자동차 및 트레일러 제조업","50~99인","총종사자수_계[명]","명","3748","3704","3107","3555","3699",
"대구광역시","자동차 및 트레일러 제조업","50~99인","총종사자수_남자[명]","명","2553","2479","2067","2366","2476",
"대구광역시","자동차 및 트레일러 제조업","50~99인","총종사자수_여자[명]","명","1195","1225","1040","1189","1223",
"대구광역시","자동차 및 트레일러 제조업","100~199인","사업체수[개]","개","21","18","17","16","13",
"대구광역시","자동차 및 트레일러 제조업","100~199인","총종사자수_계[명]","명","2923","2538","2369","2228","1799",
"대구광역시","자동차 및 트레일러 제조업","100~199인","총종사자수_남자[명]","명","2215","2099","1982","1882","1512",
"대구광역시","자동차 및 트레일러 제조업","100~199인","총종사자수_여자[명]","명","708","439","387","346","287",
"대구광역시","자동차 및 트레일러 제조업","200~299인","사업체수[개]","개","5","5","8","7","8",
"대구광역시","자동차 및 트레일러 제조업","200~299인","총종사자수_계[명]","명","1184","1216","1882","1684","2031",
"대구광역시","자동차 및 트레일러 제조업","200~299인","총종사자수_남자[명]","명","975","1004","1494","1205","1554",
"대구광역시","자동차 및 트레일러 제조업","200~299인","총종사자수_여자[명]","명","209","212","388","479","477",
"대구광역시","자동차 및 트레일러 제조업","300~499인","사업체수[개]","개","5","6","5","6","6",
"대구광역시","자동차 및 트레일러 제조업","300~499인","총종사자수_계[명]","명","1837","2189","2075","2315","2441",
"대구광역시","자동차 및 트레일러 제조업","300~499인","총종사자수_남자[명]","명","1506","1676","1634","1998","2114",
"대구광역시","자동차 및 트레일러 제조업","300~499인","총종사자수_여자[명]","명","331","513","441","317","327",
"대구광역시","자동차 및 트레일러 제조업","500~999인","사업체수[개]","개","3","3","2","2","1",
"대구광역시","자동차 및 트레일러 제조업","500~999인","총종사자수_계[명]","명","1813","1809","1351","1258","762",
"대구광역시","자동차 및 트레일러 제조업","500~999인","총종사자수_남자[명]","명","1504","1576","1268","1128","726",
"대구광역시","자동차 및 트레일러 제조업","500~999인","총종사자수_여자[명]","명","309","233","83","130","36",
"대구광역시","자동차 및 트레일러 제조업","1000인이상","사업체수[개]","개","0","0","0","0","0",
"대구광역시","자동차 및 트레일러 제조업","1000인이상","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","자동차 및 트레일러 제조업","1000인이상","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","자동차 및 트레일러 제조업","1000인이상","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","전규모","사업체수[개]","개","3","3","1","1","2",
"대구광역시","자동차용 엔진 및 자동차 제조업","전규모","총종사자수_계[명]","명","67","52","4","1","3",
"대구광역시","자동차용 엔진 및 자동차 제조업","전규모","총종사자수_남자[명]","명","63","46","4","1","3",
"대구광역시","자동차용 엔진 및 자동차 제조업","전규모","총종사자수_여자[명]","명","4","6","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","1~4인","사업체수[개]","개","0","0","1","1","2",
"대구광역시","자동차용 엔진 및 자동차 제조업","1~4인","총종사자수_계[명]","명","0","0","4","1","3",
"대구광역시","자동차용 엔진 및 자동차 제조업","1~4인","총종사자수_남자[명]","명","0","0","4","1","3",
"대구광역시","자동차용 엔진 및 자동차 제조업","1~4인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","5~9인","사업체수[개]","개","1","1","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","5~9인","총종사자수_계[명]","명","7","9","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","5~9인","총종사자수_남자[명]","명","7","9","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","5~9인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","10~29인","사업체수[개]","개","1","2","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","10~29인","총종사자수_계[명]","명","26","43","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","10~29인","총종사자수_남자[명]","명","24","37","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","10~29인","총종사자수_여자[명]","명","2","6","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","30~49인","사업체수[개]","개","1","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","30~49인","총종사자수_계[명]","명","34","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","30~49인","총종사자수_남자[명]","명","32","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","30~49인","총종사자수_여자[명]","명","2","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","50~99인","사업체수[개]","개","0","0","0","0","0",
