count,date,title,description,org_link,link
603,2024-08-13 10:24:00,"GIST 학생들, 창업 경진대회 2회 연속 수상",<b>인공지능</b>(AI)을 활용한 교통사고 리포트 자동제작 솔루션을 선보인 ‘어시스트’ 팀은 ‘제1회 PSD(Pre Startup Dream) 창업경진대회’와 ‘2024년 창업중심대학 청년 창업아이템 챌린지(호남권)’에서 각각 우수상과... ,https://dhnews.co.kr/news/view/1065572547878396,https://dhnews.co.kr/news/view/1065572547878396
604,2024-08-13 10:24:00,2분기 OLED 태블릿 패널 출하량 역대 최대… 삼성D-LGD '애플' 덕 봤다,"하반기에는 <b>인공지능</b>(AI)을 적용한 애플 아이폰16이 출시되는 만큼, 삼성디스플레이와 LG디스플레이 실적 개선세가 이어질 전망이다 올해 아이폰 OLED 전체 공급 물량은 약 1억2000만 대로 추정된다. 8000만 대... ",https://www.etoday.co.kr/news/view/2390084,https://www.etoday.co.kr/news/view/2390084
605,2024-08-13 10:24:00,"DHP-에버트라이, MOU 체결 &quot;디지털 헬스케어 저변 확대 기대&quot;","특히, 의료 <b>인공지능</b>과 디지털 치료기기 등 소프트웨어 의료기기(SaMD)의 임상시험과 인허가와 관련한 풍부한 경험과 전문성을 지니고 있다. 디지털 헬스케어 분야의 투자와 임상 수탁에 특화된 두 회사인 만큼, 이번... ",http://www.biotimes.co.kr/news/articleView.html?idxno=16581,http://www.biotimes.co.kr/news/articleView.html?idxno=16581
606,2024-08-13 10:24:00,"NH투자증권, 2024 빅데이터 경진대회 개최...&quot;총상금 3만9000달러&quot;",빅데이터 경진대회는 2020년부터 시작해 올해로 5번째를 맞는데 국내외 대학(원)생을 대상으로 창의적 아이디어 발굴과 디지털·<b>인공지능</b>(AI) 인재 조기 확보를 위해 개최돼오고 있다. 이번 빅데이터 경진대회는 국내외... ,https://www.financialpost.co.kr/news/articleView.html?idxno=211009,https://www.financialpost.co.kr/news/articleView.html?idxno=211009
607,2024-08-13 10:23:00,"가우스랩스, AI 기반 가상 계측 솔루션 `파놉테스 VM` 2.0 출시",SK하이닉스가 투자한 산업용 <b>인공지능</b>(AI) 기업 가우스랩스는 AI 기반의 반도체 공정 검증 솔루션 '판옵테스(Panoptes) VM' 2.0 버전을 출시했다고 13일 밝혔다. Panoptes VM은 장비에 설치된 센서로 수집한 데이터를... ,https://www.dt.co.kr/contents.html?article_no=2024081302109932075003&ref=naver,https://n.news.naver.com/mnews/article/029/0002894852?sid=101
608,2024-08-13 10:23:00,"하나은행, 카이스트 손 잡고 ‘AI 상업용 부동산 시장예측 모델’ 개발","하나은행은 <b>인공지능</b>(AI)을 기반으로 한 상업용 부동산 시장예측 모델인 ‘하나AI CRP’ 서비스를 개발했다고 13일 밝혔다. 하나AI CRP 서비스는 꾸준히 증가하고 있는 상업용 부동산 투자 상담시, 보다 정교하고 차별화된... ",https://news.heraldcorp.com/view.php?ud=20240813050219,https://n.news.naver.com/mnews/article/016/0002349149?sid=101
609,2024-08-13 10:22:00,"ACE 미국WideMoat가치주 ETF, 가치주→동일가중으로 이름 변경",또 최근 <b>인공지능</b>(AI) 관련주 등 시가총액 상위 종목 위주로 나타난 쏠림 현상과 조정 과정에서 주가 변동폭이 크게 발생하며 시가총액가중방식에 비해 상대적으로 주가 변동폭이 작은 동일가중방식 상품에... ,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202408131016141460172,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202408131016141460172
610,2024-08-13 10:22:00,"KT클라우드, 데이터센터 열관리 효율 높인다","KT클라우드가 데이터센터 열관리 기술인 액침냉각 기술검증을 완료하고, 급증하는 <b>인공지능</b>(AI) 수요에 효율적으로 대처한다고 13일 밝혔다. KT클라우드 액침냉각은 배관 연결이 필요한 일반적인 액침냉각과 달리 배관... ",https://biz.chosun.com/it-science/ict/2024/08/13/ZOTA35TSUBCPBMVSMPUPXT356A/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0001011482?sid=105
611,2024-08-13 10:22:00,"메타버스에 AI 더했다…웅진씽크빅, 영어 스피킹 서비스 ‘링고시티’ 출시",원만호 웅진씽크빅 DX사업본부장은 “메타버스 공간 <b>인공지능</b> 캐릭터와 자유롭게 음성으로 대화하는 제품으로 영어 학습에 거부감이 있는 학생들이 쉽게 접근할 수 있도록 개발됐다”며 “게임하듯 즐기다 보면 나도... ,http://theviewers.co.kr/View.aspx?No=3332071,http://theviewers.co.kr/View.aspx?No=3332071
612,2024-08-13 10:22:00,"삼성전자, 트렉 바이시클과 '울트라 라이딩 챌린지'","챌린지 갤럭시 워치 울트라의 다양한 <b>인공지능</b>(AI) 운동 코칭 기능을 체험할 수 있다. 갤럭시 워치 울트라를 착용하고 약 4분 정도 사이클링을 하면, 1시간 정도 지속 유지할 수 있는 최대 운동 평균 강도 지표인 'FTP... ",http://www.g-enews.com/ko-kr/news/article/news_all/202408130923307915112616b072_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/202408130923307915112616b072_1/article.html
